ASIN,product Name,Review Title,Review Rating,Review Body,Review Date
B01M1EEPOB,Apple EarPods with Lightning Connector - White,They're not terrible.,4.0,"To be fair they're better than expected. I wouldn't call them audiophile headphones but I'm the sort of snob who hates graphic equalisers and always resets audio settings in hire cars. I only use them for calls on my laptop, never for listening to music. However, they are surprisingly comfortable and don't fall out. They have decent treble and bass as well as midrange although its all a bit flat and everything gets muddled when there's a lot going on. But don't listen to me, sound is subjective. If you like them don't let anyone tell you you shouldn't. The most important thing is they sound decent, they're well made and if they're not genuine Apple, they are extremely good copies.",Reviewed in the United Kingdom on 6 March 2023
B01M1EEPOB,Apple EarPods with Lightning Connector - White,Great for the money I paid,4.0,Like them a lot the volume control to far up the cable,Reviewed in the United Kingdom on 25 February 2023
B01M1EEPOB,Apple EarPods with Lightning Connector - White,Box useful,5.0,I’ve had and don’t get on with EarPods they don’t hold charge long enough for my liking. So when I broke my earphones that came with my previous iPhone but not my iPhone 13pro max I was gutted . After reading rev of cheap copies I went for proper apple ones . All good and a handy box for storing makes them easy to find,Reviewed in the United Kingdom on 15 February 2023
B01M1EEPOB,Apple EarPods with Lightning Connector - White,Good quality Apple headphones,5.0,"The media could not be loaded.
                



 The product arrived on time, although I didn’t make photos of package,  it was just a standard package for Apple items. The sound of the headphones is good enough, plus goodvalue of money. But I wouldn’t recommend you to buy this model if you want a headphones for any device as it has an iPhone plug.",Reviewed in the United Kingdom on 24 February 2023
B01M1EEPOB,Apple EarPods with Lightning Connector - White,Brilliant,5.0,Exactly what it says it is !,Reviewed in the United Kingdom on 2 March 2023
B01M1EEPOB,Apple EarPods with Lightning Connector - White,Fabulous earphones,5.0,"Easy to use, great sound quality and great value for the money",Reviewed in the United Kingdom on 26 February 2023
B01M1EEPOB,Apple EarPods with Lightning Connector - White,Thumbs Up,4.0,"Gone through a few pairs now actually but they do the job, much as you can’t get them with the headphone connector now.  Only earphones really with a bit of bass to them as no need to go through an adapter.  And it’s nice to have some that don’t go completely in the ear.",Reviewed in the United Kingdom on 15 January 2023
B01M1EEPOB,Apple EarPods with Lightning Connector - White,Excellent,5.0,Excellent product highly recommend,Reviewed in the United Kingdom on 28 February 2023
B01M1EEPOB,Apple EarPods with Lightning Connector - White,Worked perfectly,5.0,Good earphones for price .. works with no problems,Reviewed in the United Kingdom on 18 February 2023
B01M1EEPOB,Apple EarPods with Lightning Connector - White,These are good & have survived a wash,4.0,"This is my 3rd buy. 1st only lasted 10 months. 2nd still using & 3rd for my partner.This brand have survived a wash. Comfortable to wear, sound quality very good and these are better than other brands.",Reviewed in the United Kingdom on 4 January 2023
B0BCKHQGJN,"Wireless Earbuds, Bluetooth 5.3 Headphones In Ear with 4 ENC Noise Cancelling Mic, Btootos New Bluetooth Earbuds Mini Deep Bass Stereo Sound, 36H Playtime LED Display Wireless Earphones IP7 Waterproof",Great little ear buds,5.0,"I have had a great many pairs of budget Bluetooth ear buds and am yet to have a perfect pair. These sound great and the bass is spot on once you have fitted the correct size ear tip.Problems with other ear buds range from: Latency too high, far behind on lipsync when watching videos. Not loud enough, buds falling out of ears, over sensitive touch controls.I have used these for 2 months now. So what is good.. The sound is up there  with the best budget ear buds I've used. Battery life is adequate (at least I've not had them run out on me yet), though I have not used them constantly for more than about 1.5 hours. I love the battery indicator on the case, not seen on many premium buds. Noise cancelling seems adequate although its difficult to compare as there is no on/off/passthrough modes.Latency is pretty good. So its not perfect and you may notice the slightest of delays on lipsync  but is mostly not noticeable or significant enough to bother you. Latency is a problem for most budget ear buds so pretty happy with this.You have some control with gestures from tapping the side of the ear buds Volume/track skip/pause etc. When you tap you will hear a clicking sound which is very useful in indicating how many taps have been registered from your touches. I love this feature, this helps lower the frustration. It's very easy to tap the wrong part of the earbud and without the click you would be left frustrated as to why the ear bud did not respond to your command. Now you know why. If you didn't hear the click then you tapped the wrong spot on the bud.If I was being picky I would have liked wireless charging or noise cancelling modes on/off/passthrough but I think that is a limit of the chip used in these buds. They are really very good for the price so can't complain.",Reviewed in the United Kingdom 🇬🇧 on 26 February 2023
B0BCKHQGJN,"Wireless Earbuds, Bluetooth 5.3 Headphones In Ear with 4 ENC Noise Cancelling Mic, Btootos New Bluetooth Earbuds Mini Deep Bass Stereo Sound, 36H Playtime LED Display Wireless Earphones IP7 Waterproof",Amazing value and really good sound,5.0,"Really darn good! Easy to learn the functions of touching it to control volume and stuff (works with Spotify)Stays charged for 5 hours on half volume in my usage.Doesn't quite reach the other side of my semi 3 bed house but I'm super impressed!Apparently phone calls are clear with this, I was happy using it for calls and the other person said I was clear.Does block out some sounds while listening which is great.My partner said they are just as good as their pixel buds which were £150+... Neither of us are incredibly into the subtleties of music so if you're a producer ignore me, but for the everyday person they're great! Music, YouTube, netflix, Spotify, calls, all worked great! No lag between voice and picture so impressed! Haven't rated their waterproofing yet, but I trust it, they feel quality.",Reviewed in the United Kingdom 🇬🇧 on 8 March 2023
