URLs,Price,#Ratings
https://www.amazon.co.uk/TONEMAC-Earphones-Bluetooth-Headphones-Waterproof-Black/product-reviews/B0B9MCKZJF/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,29,839 ratings
https://www.amazon.co.uk/Thomson-Over-Ear-Headphones-Cable-Black/product-reviews/B01N6NQ73J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,16,"4,724 ratings"
https://www.amazon.co.uk/Bluetooth-Headphones-Cancelling-Earphones-Waterproof-white/product-reviews/B0B65B14L1/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,17,"8,614 ratings"
https://www.amazon.co.uk/Bluetooth-Headphones-Cancelling-Waterproof-Microphone-black/product-reviews/B0BB9RDFDN/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,19,"1,982 ratings"
https://www.amazon.co.uk/JBL-Tune-510-BT-Blue/product-reviews/B08QTVL6C5/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,39,"5,910 ratings"
https://www.amazon.co.uk/Headphones-Bluetooth-Earphones-Waterproof-Cancelling-Black/product-reviews/B09BN47YHV/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,16,"11,003 ratings"
https://www.amazon.co.uk/Yamaha-Electronics-FBA_HPH50B-HPH-50B-Headphone-Black/product-reviews/B00X3L05VM/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,26,"1,681 ratings"
https://www.amazon.co.uk/gorsun-bluetooth-headphones-Childrens-mix/product-reviews/B083RYGTFT/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,37,"5,513 ratings"
https://www.amazon.co.uk/iClever-Bluetooth-Headphones-Colorful-Childrens-Light-blue/product-reviews/B08CZM61Z2/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,21,"3,120 ratings"
https://www.amazon.co.uk/Hearprotek-Lightweight-Silicone-Headphones-Relaxation/product-reviews/B0832K9P66/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,16,"1,882 ratings"
