URLs,Price,#Ratings
https://www.amazon.co.uk/Betron-Headphones-Earphones-Smartphones-Microphone-Black/dp/B00P89DXYI,9,"29,766 ratings"
https://www.amazon.co.uk/Apple-EarPods-with-Lightning-Connector/dp/B01M1EEPOB,13,"24,847 ratings"
https://www.amazon.co.uk/Earphones-Bluetooth-Headphones-Cancelling-Airp%F0%9D%96%94%F0%9D%96%89%F0%9D%96%98/dp/B0BPT1LXH4,15,"2,525 ratings"
https://www.amazon.co.uk/Bluetooth-Headphones-Earphones-Reduction-Waterproof-Black/dp/B09TN4MP6V,29,"13,086 ratings"
https://www.amazon.co.uk/headphones-wired-microphone-mic-noise-cancelling-phone/dp/B087JVV8FK,39,"12,486 ratings"
https://www.amazon.co.uk/Sennheiser-HD-206-Stereo-Headphone/dp/B01N7S0IPR,5,"13,776 ratings"
https://www.amazon.co.uk/EarFun-Wireless-Bluetooth-Detection-Headphones-Matte-Black/dp/B088H7GMHZ,35,"12,746 ratings"
https://www.amazon.co.uk/JVC-Headphones-Earphones-Compatible-Samsung-Black/dp/B00ZAT03S0,8,761 ratings
https://www.amazon.co.uk/OneOdio-Bluetooth-Over-Ear-Headphones/dp/B0828S1TPM,79,"6,873 ratings"
https://www.amazon.co.uk/Isolating-Headphones-Microphone-Lightweight-Earphones/dp/B083J88QRS,21,"12,835 ratings"
https://www.amazon.co.uk/Soundcore-Cancelling-Headphones-Multiple-Bluetooth-Black/dp/B08HMWZBXC,21,"12,715 ratings"
https://www.amazon.co.uk/Headphones-Bluetooth-Earphones-Cancelling-Waterproof-Black/dp/B099D925ZD,14,"4,239 ratings"
